Date,Region,Cholera_Cases,Rainfall_mm,Avg_Temperature_C,Humidity_%,Water_Contamination_Index,Population_Density,Sanitation_Score,Is_Holiday_Week
2021-01-01,Kano,26,57.93,29.9,75.8,0.13,3239,2.2,0
2021-01-08,Lagos,16,38.52,28.3,74.4,0.36,7392,1.4,0
2021-01-15,Lagos,20,42.42,29.1,82.2,0.16,3363,2.6,0
2021-01-22,Enugu,17,80.67,28.5,80.9,0.24,11612,1.9,0
2021-01-29,Enugu,19,0.59,31.7,78.5,0.27,3222,3.8,0
2021-02-05,Enugu,15,36.3,29.2,74.6,0.16,11930,2.9,1
2021-02-12,Lagos,18,36.47,25.9,87.0,0.39,10966,2.6,1
2021-02-19,Enugu,15,69.29,32.1,84.1,0.24,8555,4.9,0
2021-02-26,Lagos,13,88.44,26.9,82.6,0.37,9668,2.1,0
2021-03-05,Enugu,18,53.67,31.9,79.7,0.39,11104,4.4,0
2021-03-12,Lagos,10,47.4,29.1,76.9,0.49,10074,1.0,0
2021-03-19,Enugu,18,88.1,29.1,80.9,0.44,9374,2.9,1
2021-03-26,Enugu,25,70.62,29.5,79.2,0.44,3607,4.3,0
2021-04-02,Kano,26,59.59,28.8,79.2,0.49,9193,3.0,0
2021-04-09,Bayelsa,18,88.08,29.9,76.3,0.68,11501,3.3,0
2021-04-16,Enugu,15,62.36,28.5,78.0,0.18,6368,4.2,0
2021-04-23,Lagos,12,44.66,27.0,75.3,0.75,4364,2.8,0
2021-04-30,Kano,12,91.34,29.6,81.3,0.36,2528,3.4,0
2021-05-07,Lagos,11,68.41,29.4,77.1,0.51,5243,4.1,0
2021-05-14,Kano,28,43.36,29.1,86.8,0.29,8314,2.1,0
2021-05-21,Bayelsa,28,33.49,30.7,75.9,0.23,9610,3.9,1
2021-05-28,Enugu,15,57.09,29.7,78.7,0.25,9567,2.2,0
2021-06-04,Kaduna,32,66.66,29.8,85.0,0.09,6459,1.9,1
2021-06-11,Enugu,17,52.56,29.3,74.5,0.23,6612,3.6,0
2021-06-18,Kano,20,46.07,27.7,82.7,0.45,6193,1.0,0
2021-06-25,Lagos,20,61.35,28.1,74.0,0.61,8343,1.9,0
2021-07-02,Kaduna,22,103.07,29.2,78.4,0.41,8654,1.4,0
2021-07-09,Bayelsa,23,68.99,28.0,77.7,0.05,2869,4.0,0
2021-07-16,Kaduna,14,73.54,29.8,77.3,0.19,8005,4.2,0
2021-07-23,Kaduna,14,57.68,29.9,84.0,0.12,3824,1.6,1
2021-07-30,Kaduna,13,70.62,30.0,83.4,0.59,11125,4.5,1
2021-08-06,Lagos,11,60.56,31.0,80.9,0.65,6269,3.0,0
2021-08-13,Enugu,13,77.96,27.8,77.7,0.14,10953,3.1,1
2021-08-20,Kaduna,21,55.66,26.1,71.3,0.64,8636,3.9,0
2021-08-27,Kano,17,74.92,29.1,80.8,0.42,8180,2.6,0
2021-09-03,Enugu,13,62.57,30.5,77.9,0.42,6888,2.9,0
2021-09-10,Bayelsa,15,78.82,28.0,75.0,0.32,8464,2.6,0
2021-09-17,Kaduna,16,28.11,28.7,79.0,0.28,6005,2.9,0
2021-09-24,Enugu,24,51.12,29.1,78.9,0.4,4578,3.5,1
